商品id,商品名称,规格id,商品规格,商品类型,规格编号,销售价,市场价,成本价,库存,所属分类,商品品牌,商品状态,审核状态,点击量,销量,收藏量
20	,秭归橙子	,20	,	,实物商品	,	,58.00	,68.00	,45.00	,38	,水果	,	,正常	,已审核	,62	,16	,0	
21	,2022DS自然探索赛-武汉站	,22	,一大一小 9月8号	,虚拟商品	,	,399.00	,0.00	,0.00	,0	,活动	,	,正常	,已审核	,134	,50	,0	
21	,2022DS自然探索赛-武汉站	,23	,一大一小 9月9日	,虚拟商品	,	,399.00	,0.00	,0.00	,47	,活动	,	,正常	,已审核	,0	,3	,0	
21	,2022DS自然探索赛-武汉站	,24	,一大一小 9月10日	,虚拟商品	,	,399.00	,0.00	,0.00	,50	,活动	,	,正常	,已审核	,0	,0	,0	
21	,2022DS自然探索赛-武汉站	,25	,两大一小 9月8号	,虚拟商品	,	,499.00	,0.00	,0.00	,49	,活动	,	,正常	,已审核	,0	,1	,0	
21	,2022DS自然探索赛-武汉站	,26	,两大一小 9月9日	,虚拟商品	,	,499.00	,0.00	,0.00	,50	,活动	,	,正常	,已审核	,0	,0	,0	
21	,2022DS自然探索赛-武汉站	,27	,两大一小 9月10日	,虚拟商品	,	,499.00	,0.00	,0.00	,50	,活动	,	,正常	,已审核	,0	,0	,0	
